age,income,employment_type,tenure_months,product_type,loan_amount,tenor,purpose,existing_debt,dbr,ltv,credit_score,ecib_status,dependents,default
40.0,89287.55,Salaried,42,Auto Finance,1155959.22,80,Debt Consolidation,296389.72,0.4385,0.8307,96.25,Good,4,0
38.0,117676.49,Self-Employed,50,Personal Loan,1040338.36,15,Vehicle Purchase,258853.42,0.7727,0.0,19.11,Average,2,1
23.4,57272.28,Self-Employed,24,Auto Finance,887590.16,43,Medical,333873.86,0.8462,0.8858,54.99,Good,2,1
46.6,264779.02,Business,19,Auto Finance,4651486.23,59,Business Expansion,468011.03,0.445,0.946,20.19,Average,1,1
26.2,58296.2,Salaried,36,Auto Finance,744611.65,41,Wedding,208176.08,0.6091,0.759,21.0,Average,1,1
53.3,105275.24,Salaried,16,Personal Loan,1466352.31,44,Business Expansion,17795.27,0.3306,0.0,38.62,Average,2,1
36.3,93426.11,Salaried,53,Business Loan,2133729.2,13,Wedding,468053.65,1.5,0.0,79.44,Good,3,1
51.6,106673.21,Salaried,73,Home Finance,2884234.74,274,Wedding,401438.33,0.4123,0.7116,57.29,Average,3,0
29.1,235763.81,Self-Employed,31,Auto Finance,2154889.72,25,Wedding,588503.36,0.5736,0.7251,64.54,Good,1,0
31.6,165834.59,Salaried,23,Personal Loan,675522.2,32,Medical,346193.56,0.3013,0.0,49.93,Average,4,0
47.5,89882.57,Salaried,57,Personal Loan,453964.92,44,Medical,283417.81,0.3776,0.0,65.15,Good,1,0
55.2,63690.27,Self-Employed,8,Personal Loan,243219.13,49,Debt Consolidation,288085.28,0.4549,0.0,65.93,Average,2,0
46.2,250337.37,Business,61,Personal Loan,3742386.19,19,Vehicle Purchase,828162.75,1.0625,0.0,60.03,Average,0,1
21.0,166161.51,Business,54,Personal Loan,984531.84,58,Wedding,954949.71,0.5811,0.0,25.4,Average,2,1
31.5,73069.65,Self-Employed,47,Business Loan,1134536.78,74,Debt Consolidation,266332.36,0.5136,0.0,70.28,Good,1,0
35.3,38760.97,Self-Employed,27,Personal Loan,281274.96,15,Other,3203.78,0.4907,0.0,20.39,Negative,1,1
37.3,213892.18,Self-Employed,17,Personal Loan,1947123.28,24,Other,440499.34,0.5509,0.0,17.84,Negative,2,1
38.7,275770.85,Salaried,28,Personal Loan,947734.73,49,Medical,205789.6,0.1323,0.0,94.18,Good,4,0
51.3,127464.08,Salaried,21,Auto Finance,1110823.82,66,Business Expansion,275102.15,0.3119,0.7028,71.96,Average,1,0
51.5,123322.76,Salaried,130,Personal Loan,1179333.26,57,Other,359766.74,0.4109,0.0,26.97,Average,1,1
42.8,183984.67,Self-Employed,53,Personal Loan,728241.43,26,Medical,1038273.44,0.6225,0.0,64.65,Good,4,0
40.6,108449.93,Salaried,70,Auto Finance,1771796.78,74,Medical,170391.94,0.3517,0.7847,20.34,Average,2,0
33.4,83656.6,Salaried,35,Personal Loan,586380.42,31,Other,160073.19,0.3856,0.0,61.91,Average,1,1
30.0,221212.09,Salaried,51,Personal Loan,1598157.21,27,Education,1198883.61,0.7192,0.0,25.29,Negative,0,1
50.2,194081.64,Salaried,13,Personal Loan,2574229.0,14,Medical,1147742.47,1.4402,0.0,55.26,Average,1,1
51.9,42854.02,Self-Employed,42,Personal Loan,502202.78,45,Business Expansion,203831.8,0.6568,0.0,54.14,Average,2,0
34.2,466190.43,Salaried,82,Business Loan,7319219.91,28,Other,2772827.47,1.0564,0.0,46.57,Average,0,1
29.4,129620.16,Self-Employed,21,Personal Loan,1448330.69,35,Other,311956.48,0.5198,0.0,17.18,Negative,0,1
45.5,164778.04,Salaried,39,Auto Finance,1676069.09,70,Vehicle Purchase,615763.23,0.4567,0.8413,69.87,Good,1,0
21.0,112049.74,Salaried,35,Auto Finance,1177113.36,58,Medical,386664.66,0.4687,0.9286,80.89,Good,1,0
39.2,253351.18,Salaried,57,Personal Loan,3208132.16,36,Medical,144692.3,0.3993,0.0,92.97,Good,1,0
28.9,316618.45,Self-Employed,40,Home Finance,9287718.0,245,Vehicle Purchase,753921.42,0.3182,0.9221,53.83,Negative,2,1
37.6,118506.42,Salaried,24,Personal Loan,1028643.89,12,Debt Consolidation,674683.34,1.1978,0.0,62.55,Good,2,1
36.3,100495.88,Salaried,60,Personal Loan,1400390.13,45,Education,58503.7,0.3582,0.0,14.63,Negative,2,1
42.0,95289.8,Self-Employed,33,Home Finance,3754788.18,229,Wedding,387255.36,0.5107,0.7155,33.66,Average,0,1
36.2,276394.72,Salaried,12,Auto Finance,2450845.26,62,Home Purchase,433654.17,0.2738,0.7748,15.6,Negative,0,1
54.4,43449.82,Salaried,10,Personal Loan,215533.12,31,Business Expansion,139381.8,0.4273,0.0,4.59,Average,2,1
32.9,40427.19,Salaried,49,Auto Finance,385562.49,31,Other,84112.21,0.481,0.8387,29.46,Negative,2,1
60.3,75003.84,Salaried,26,Personal Loan,709048.78,14,Business Expansion,31382.32,0.7101,0.0,53.16,Good,1,0
27.2,65622.64,Salaried,41,Personal Loan,426856.59,32,Business Expansion,81156.46,0.3063,0.0,99.99,Good,4,0
21.0,237590.27,Self-Employed,66,Home Finance,6064324.42,158,Wedding,72194.93,0.1869,0.7665,27.12,Negative,0,1
46.6,365888.48,Self-Employed,37,Home Finance,12915538.38,128,Business Expansion,962491.49,0.495,0.8331,59.33,Good,1,0
49.5,159069.97,Self-Employed,82,Personal Loan,769492.7,19,Vehicle Purchase,354059.43,0.4401,0.0,47.19,Average,0,0
36.9,135126.55,Salaried,35,Personal Loan,1199357.21,57,Wedding,748044.02,0.617,0.0,61.7,Negative,0,1
50.1,69482.9,Salaried,20,Personal Loan,822403.2,45,Other,10701.91,0.2759,0.0,71.46,Good,1,0
49.9,98839.93,Self-Employed,23,Personal Loan,1050440.51,36,Debt Consolidation,305662.67,0.5529,0.0,71.47,Average,0,0
22.6,148023.67,Self-Employed,20,Home Finance,2700691.08,191,Medical,271241.31,0.2482,0.6818,91.69,Good,1,0
42.3,99751.62,Salaried,42,Personal Loan,1287126.69,51,Business Expansion,328257.53,0.5272,0.0,18.47,Good,0,1
43.7,70614.61,Salaried,14,Auto Finance,943841.38,73,Education,190405.65,0.4078,0.705,8.36,Average,2,1
25.9,42231.91,Salaried,68,Personal Loan,458467.05,44,Vehicle Purchase,146884.65,0.5366,0.0,88.64,Good,0,0
31.3,94150.63,Salaried,69,Business Loan,2340602.49,45,Medical,519819.75,1.0125,0.0,31.44,Average,3,1
33.7,43960.23,Salaried,24,Auto Finance,692484.21,41,Medical,216886.56,0.7953,0.705,54.02,Average,4,1
36.5,52076.84,Salaried,47,Business Loan,798819.04,36,Wedding,193169.91,0.7352,0.0,82.61,Good,2,0
40.0,105462.86,Self-Employed,5,Home Finance,4165806.17,129,Business Expansion,226163.11,0.4849,0.8202,44.05,Average,1,0
32.4,93366.46,Salaried,20,Personal Loan,1104206.03,18,Wedding,482117.28,1.0873,0.0,37.61,Average,3,1
43.7,100416.38,Self-Employed,42,Personal Loan,353582.18,13,Medical,598697.84,0.7677,0.0,49.33,Average,2,1
56.1,48810.91,Salaried,92,Personal Loan,318024.47,34,Medical,134002.68,0.4204,0.0,90.55,Good,0,0
22.5,122153.53,Self-Employed,35,Personal Loan,1134318.85,44,Education,388508.41,0.4761,0.0,90.29,Good,3,0
34.8,123349.71,Self-Employed,65,Home Finance,4061342.99,293,Vehicle Purchase,363139.71,0.3577,0.6851,94.37,Good,0,0
44.0,162583.85,Salaried,24,Personal Loan,2343041.58,33,Debt Consolidation,28101.45,0.4511,0.0,37.21,Average,1,0
43.4,340679.23,Business,58,Personal Loan,2178155.61,31,Business Expansion,1426737.63,0.5552,0.0,71.98,Average,2,0
26.1,83547.17,Self-Employed,16,Personal Loan,439161.32,46,Education,335564.8,0.449,0.0,69.24,Good,2,1
68.3,60796.9,Salaried,32,Home Finance,2236547.27,190,Medical,289962.65,0.5911,0.7097,6.72,Negative,0,1
21.0,60290.05,Salaried,48,Business Loan,1275046.52,85,Home Purchase,136505.63,0.4375,0.0,12.43,Negative,1,1
37.0,65550.05,Salaried,13,Personal Loan,572723.4,28,Other,263945.8,0.6476,0.0,49.18,Average,1,1
43.3,141652.69,Salaried,19,Home Finance,4693735.23,258,Business Expansion,214971.99,0.2549,0.765,40.67,Negative,0,1
21.0,85237.06,Self-Employed,45,Home Finance,2191292.52,150,Education,130536.49,0.299,0.9072,88.49,Good,0,0
38.0,55011.72,Self-Employed,55,Business Loan,1396193.3,91,Vehicle Purchase,45154.27,0.3473,0.0,98.94,Average,1,0
31.5,63266.37,Salaried,94,Business Loan,1832176.6,41,Other,84912.35,0.8182,0.0,35.82,Average,2,1
46.1,181799.17,Self-Employed,73,Business Loan,5416276.53,119,Debt Consolidation,306283.02,0.3908,0.0,71.19,Good,2,0
21.0,132289.09,Salaried,23,Personal Loan,678964.26,53,Other,312558.78,0.2937,0.0,9.77,Negative,1,1
40.6,149919.19,Salaried,37,Auto Finance,2877305.71,61,Education,164789.01,0.4062,0.8377,83.3,Average,2,0
21.0,99104.36,Self-Employed,90,Auto Finance,1609325.92,34,Wedding,471495.51,0.8741,0.7941,44.82,Negative,1,1
24.8,97788.22,Business,28,Personal Loan,375251.72,12,Medical,547864.78,0.7867,0.0,33.5,Average,1,1
45.7,25000.0,Salaried,5,Personal Loan,321271.75,51,Home Purchase,115446.95,0.6368,0.0,14.35,Negative,1,1
40.7,42539.44,Salaried,38,Personal Loan,269100.32,22,Vehicle Purchase,43110.2,0.372,0.0,45.25,Good,3,0
28.5,117938.84,Salaried,56,Business Loan,1993570.07,32,Medical,272658.13,0.7209,0.0,68.03,Good,1,0
34.6,123305.35,Salaried,29,Home Finance,4838695.17,205,Medical,509604.74,0.5358,0.6736,57.06,Good,1,1
67.4,58824.33,Salaried,59,Home Finance,2127372.19,274,Business Expansion,333217.28,0.604,0.6629,32.13,Average,0,1
38.9,245175.84,Self-Employed,36,Home Finance,9598506.3,165,Home Purchase,1269125.24,0.6686,0.8467,25.96,Good,3,1
22.3,194073.25,Salaried,36,Auto Finance,3070653.22,33,Business Expansion,955770.29,0.8899,0.9147,94.38,Good,2,1
45.7,211227.46,Self-Employed,30,Personal Loan,1757009.46,57,Other,707311.94,0.425,0.0,91.7,Average,1,1
24.5,147371.57,Business,26,Auto Finance,2427597.49,81,Home Purchase,626050.46,0.5574,0.6557,31.16,Good,1,1
61.3,181327.11,Self-Employed,34,Auto Finance,2474568.5,65,Wedding,274957.83,0.3363,0.9024,79.51,Good,2,0
47.9,163589.25,Salaried,16,Personal Loan,2037358.63,44,Debt Consolidation,99264.65,0.3336,0.0,94.62,Good,3,0
45.7,138329.87,Salaried,90,Personal Loan,605587.89,52,Debt Consolidation,47055.53,0.1125,0.0,58.65,Negative,2,1
44.0,142774.62,Salaried,41,Personal Loan,1965829.48,15,Vehicle Purchase,361873.58,1.1291,0.0,36.66,Average,2,1
49.9,350373.38,Self-Employed,54,Personal Loan,2217933.05,23,Medical,259899.24,0.337,0.0,35.58,Average,2,1
51.3,87330.92,Salaried,37,Personal Loan,1225331.33,50,Medical,218195.94,0.4888,0.0,7.65,Negative,1,1
43.3,156120.21,Self-Employed,42,Personal Loan,1063568.33,13,Other,338359.29,0.7046,0.0,33.24,Average,0,1
64.8,213584.74,Self-Employed,19,Auto Finance,3842186.55,38,Vehicle Purchase,749791.32,0.7659,0.6519,54.51,Average,1,1
49.2,92621.28,Salaried,87,Personal Loan,510794.47,49,Business Expansion,140698.93,0.2391,0.0,76.82,Good,0,0
35.2,49919.47,Self-Employed,92,Personal Loan,581595.11,41,Medical,98456.32,0.4485,0.0,11.66,Negative,1,1
54.7,87297.72,Salaried,20,Personal Loan,1148582.12,16,Vehicle Purchase,465538.26,1.2667,0.0,6.64,Average,1,1
47.3,85880.74,Self-Employed,31,Personal Loan,859638.67,54,Medical,45077.19,0.2291,0.0,87.23,Good,2,0
29.1,80948.08,Salaried,16,Personal Loan,293805.55,42,Medical,99829.33,0.1892,0.0,3.25,Negative,3,1
46.0,143763.83,Self-Employed,46,Personal Loan,483401.62,41,Education,149978.44,0.1689,0.0,98.71,Good,2,0
40.8,58935.89,Self-Employed,26,Personal Loan,695168.16,35,Wedding,232749.21,0.6661,0.0,33.89,Average,0,1
35.4,106200.15,Salaried,47,Personal Loan,1229630.14,34,Wedding,257976.86,0.543,0.0,46.52,Average,4,0
55.6,242448.43,Self-Employed,72,Auto Finance,3199392.01,48,Medical,1242725.89,0.7021,0.9074,65.19,Average,0,1
22.0,35744.66,Self-Employed,39,Home Finance,694929.33,186,Other,45364.93,0.2103,0.9009,6.86,Negative,1,1
47.4,172665.74,Salaried,19,Personal Loan,935664.5,19,Home Purchase,495016.09,0.5241,0.0,4.24,Average,1,1
31.2,65649.89,Salaried,53,Auto Finance,642612.6,46,Vehicle Purchase,136750.0,0.3864,0.8856,65.19,Good,2,0
49.6,297033.51,Business,33,Personal Loan,2510372.98,41,Debt Consolidation,906443.42,0.4604,0.0,20.99,Negative,2,1
36.2,74173.72,Self-Employed,107,Home Finance,1288283.62,268,Medical,281651.21,0.3812,0.8509,58.6,Good,2,0
29.4,195471.3,Salaried,18,Auto Finance,3837830.01,28,Debt Consolidation,678094.96,0.9903,0.8877,44.32,Average,1,1
48.0,169551.3,Self-Employed,48,Home Finance,3760471.85,234,Business Expansion,521655.62,0.3512,0.8543,27.97,Average,1,1
46.6,112549.38,Salaried,16,Personal Loan,805801.64,40,Medical,543451.02,0.5814,0.0,57.51,Good,1,1
30.2,135061.82,Self-Employed,51,Home Finance,2180463.22,139,Other,644224.87,0.5136,0.8696,16.94,Negative,2,1
34.3,156363.29,Salaried,40,Auto Finance,1567765.9,58,Business Expansion,26412.41,0.1869,0.8813,47.7,Negative,1,0
42.7,27086.27,Salaried,51,Personal Loan,99140.22,43,Wedding,21570.99,0.1515,0.0,47.83,Average,1,0
33.3,82158.61,Business,92,Personal Loan,734352.27,27,Debt Consolidation,321036.83,0.6567,0.0,87.09,Good,1,0
35.1,61634.04,Self-Employed,63,Personal Loan,197842.53,30,Vehicle Purchase,336006.07,0.5613,0.0,67.17,Good,1,0
40.1,115187.4,Self-Employed,52,Personal Loan,1434729.2,55,Education,376821.66,0.4991,0.0,22.32,Negative,2,1
49.3,58528.81,Self-Employed,36,Business Loan,1697976.2,91,Education,72747.04,0.4224,0.0,21.71,Average,1,1
28.7,75734.08,Salaried,129,Personal Loan,1045621.54,52,Medical,171471.62,0.4542,0.0,24.0,Negative,1,1
21.0,57302.66,Business,40,Personal Loan,783134.15,58,Education,282656.68,0.6467,0.0,71.4,Good,1,1
45.5,90677.05,Salaried,23,Auto Finance,771798.95,81,Other,426349.06,0.4969,0.9032,70.54,Average,2,1
42.6,73923.97,Salaried,27,Personal Loan,732187.4,20,Vehicle Purchase,97522.89,0.6052,0.0,51.86,Average,2,0
51.0,294476.31,Salaried,60,Auto Finance,5662843.79,51,Education,52040.52,0.3918,0.9469,79.89,Average,0,0
35.1,51610.76,Salaried,24,Auto Finance,812458.7,75,Other,118089.8,0.4006,0.7511,70.97,Negative,3,1
44.2,109504.27,Salaried,52,Auto Finance,2039136.96,57,Education,261846.06,0.526,0.8987,62.41,Good,2,1
23.6,31462.69,Salaried,70,Personal Loan,378342.82,31,Education,158268.9,0.8071,0.0,99.03,Good,1,1
35.1,413409.76,Self-Employed,45,Personal Loan,5561120.56,30,Medical,1224524.67,0.6952,0.0,19.18,Negative,2,1
37.5,80489.96,Self-Employed,29,Home Finance,2697636.56,273,Medical,268813.23,0.4011,0.6902,31.57,Average,1,0
21.0,99907.64,Salaried,39,Auto Finance,1102039.29,52,Wedding,521048.81,0.6467,0.8553,18.29,Negative,2,1
27.5,147530.91,Self-Employed,70,Business Loan,4075182.5,92,Home Purchase,838691.91,0.774,0.0,3.67,Negative,1,1
28.5,78688.1,Salaried,34,Personal Loan,501764.73,49,Wedding,435871.65,0.5917,0.0,98.31,Good,2,0
49.3,32223.08,Salaried,32,Personal Loan,226398.1,50,Education,64385.39,0.307,0.0,50.4,Good,1,0
34.0,45889.62,Self-Employed,40,Home Finance,1422289.79,153,Education,231196.68,0.6224,0.6946,42.19,Average,0,0
32.2,163872.61,Self-Employed,83,Auto Finance,2701311.26,43,Wedding,886517.81,0.8342,0.6692,39.36,Average,2,1
24.8,137650.5,Salaried,28,Business Loan,1707690.66,100,Debt Consolidation,48977.23,0.1537,0.0,65.29,Good,2,0
33.9,78349.65,Salaried,24,Auto Finance,827836.08,64,Education,263386.86,0.4452,0.6809,93.71,Good,1,0
35.5,191573.06,Salaried,34,Personal Loan,1604714.95,12,Debt Consolidation,244946.32,0.8046,0.0,76.69,Good,2,1
23.8,79999.61,Salaried,104,Personal Loan,300698.3,46,Vehicle Purchase,256676.09,0.3491,0.0,30.66,Average,1,1
21.0,185571.4,Salaried,21,Personal Loan,2401588.87,52,Business Expansion,970722.91,0.6848,0.0,59.05,Good,2,0
52.4,165126.62,Self-Employed,59,Personal Loan,1371288.03,51,Medical,436334.34,0.383,0.0,98.71,Good,1,0
58.4,84988.03,Self-Employed,55,Auto Finance,1389140.86,72,Wedding,268783.66,0.4906,0.7486,47.93,Average,2,0
22.4,66229.87,Self-Employed,37,Auto Finance,1012601.94,59,Other,133468.5,0.4271,0.7136,29.12,Average,0,1
38.9,180001.77,Salaried,15,Auto Finance,2208413.32,62,Medical,453516.47,0.4078,0.9378,52.56,Good,0,0
29.8,93222.53,Salaried,64,Personal Loan,967534.28,24,Wedding,365638.76,0.7593,0.0,81.8,Good,1,1
29.6,25000.0,Salaried,47,Auto Finance,432582.72,68,Debt Consolidation,53011.38,0.4312,0.7673,27.41,Negative,4,1
21.0,61435.48,Business,78,Personal Loan,552012.11,49,Home Purchase,226830.41,0.4911,0.0,14.87,Average,0,1
48.1,93734.22,Business,67,Home Finance,2421323.67,229,Wedding,97014.39,0.1991,0.7932,36.24,Average,1,1
42.8,220594.18,Business,68,Personal Loan,798951.89,37,Education,913786.2,0.4431,0.0,74.22,Average,1,0
37.1,178872.58,Self-Employed,64,Auto Finance,1801237.65,34,Business Expansion,972600.65,0.7493,0.8116,13.55,Good,1,1
40.7,61048.12,Self-Employed,44,Business Loan,742242.9,72,Medical,33470.91,0.2146,0.0,82.88,Good,1,0
44.6,144356.03,Salaried,43,Personal Loan,1457458.52,36,Medical,475516.97,0.555,0.0,30.03,Average,2,1
26.3,80396.51,Salaried,30,Personal Loan,553200.01,39,Debt Consolidation,23789.99,0.2011,0.0,58.44,Good,3,0
52.7,64462.61,Salaried,66,Personal Loan,550453.65,17,Home Purchase,8911.11,0.5138,0.0,8.05,Negative,1,1
21.0,258145.52,Salaried,108,Personal Loan,3136558.67,27,Medical,1071298.58,0.7958,0.0,40.91,Average,2,1
44.4,95967.88,Salaried,65,Personal Loan,401357.62,20,Medical,404587.94,0.5604,0.0,97.12,Good,0,0
34.7,51333.14,Self-Employed,58,Personal Loan,466975.99,46,Medical,120094.96,0.3927,0.0,88.49,Good,3,0
21.0,122769.71,Salaried,34,Personal Loan,573144.78,25,Wedding,315347.84,0.4008,0.0,87.86,Good,1,0
33.7,135388.25,Salaried,12,Business Loan,2283453.94,88,Business Expansion,175331.4,0.2996,0.0,60.85,Good,3,0
49.6,54664.1,Salaried,48,Personal Loan,525929.92,41,Other,163947.42,0.4846,0.0,88.86,Good,0,0
30.9,58195.95,Salaried,54,Business Loan,1359612.04,111,Home Purchase,129824.11,0.3964,0.0,85.45,Negative,3,0
56.8,66179.68,Self-Employed,20,Personal Loan,861024.4,14,Wedding,287813.91,1.2917,0.0,71.71,Good,1,1
50.3,99775.03,Salaried,43,Personal Loan,913802.5,59,Medical,359738.32,0.4557,0.0,40.39,Average,2,0
42.4,54417.6,Salaried,26,Auto Finance,549409.8,67,Vehicle Purchase,107450.8,0.3152,0.8946,20.48,Negative,1,1
28.0,72722.09,Self-Employed,45,Personal Loan,744546.88,40,Other,320909.78,0.6237,0.0,70.48,Good,6,0
38.2,97404.67,Salaried,25,Business Loan,1747574.64,84,Other,499497.82,0.6409,0.0,39.06,Good,1,1
35.3,176229.0,Self-Employed,69,Personal Loan,2313911.8,55,Other,39743.12,0.2575,0.0,7.74,Average,3,1
39.9,212550.83,Salaried,57,Home Finance,6076006.41,145,Medical,886537.51,0.5447,0.7042,83.52,Average,3,0
24.1,103474.28,Self-Employed,54,Personal Loan,1543213.47,44,Medical,601329.82,0.8232,0.0,21.21,Negative,0,1
56.6,182589.23,Salaried,43,Personal Loan,1670857.27,28,Education,217033.95,0.4259,0.0,25.73,Negative,0,1
32.6,179223.78,Salaried,44,Personal Loan,1109637.18,18,Debt Consolidation,24136.34,0.3552,0.0,66.01,Good,0,0
35.4,72621.85,Salaried,5,Home Finance,2236383.74,123,Education,365072.69,0.6693,0.7444,41.53,Negative,1,1
21.0,97077.87,Business,18,Personal Loan,317298.84,49,Medical,71105.72,0.1277,0.0,72.39,Negative,3,1
26.7,142839.45,Self-Employed,50,Personal Loan,1685637.63,58,Education,492268.05,0.4907,0.0,49.85,Average,3,0
29.7,60151.41,Business,20,Personal Loan,529034.6,31,Medical,307759.85,0.7101,0.0,87.52,Good,1,1
21.1,101784.47,Salaried,34,Personal Loan,502190.35,30,Business Expansion,211705.06,0.3378,0.0,77.51,Good,3,0
36.7,112151.06,Self-Employed,68,Home Finance,2019104.62,249,Other,11306.0,0.0807,0.931,40.86,Average,1,0
45.9,188903.5,Salaried,12,Personal Loan,1935359.63,13,Wedding,218236.92,0.8844,0.0,17.0,Negative,0,1
41.3,106199.85,Salaried,43,Personal Loan,1108257.15,52,Vehicle Purchase,230253.2,0.3814,0.0,40.19,Average,4,0
43.3,43517.35,Business,43,Business Loan,726528.87,50,Home Purchase,231305.21,0.7768,0.0,0.06,Negative,3,1
35.0,75465.13,Salaried,51,Auto Finance,1218000.65,56,Home Purchase,259615.27,0.5749,0.8785,58.15,Good,1,0
31.2,126436.24,Salaried,40,Auto Finance,1490951.33,49,Home Purchase,332220.27,0.4596,0.7581,41.33,Average,1,0
34.4,193352.51,Business,39,Personal Loan,825164.75,40,Business Expansion,873751.03,0.4833,0.0,51.5,Good,4,0
30.6,138223.43,Salaried,23,Home Finance,4154458.64,176,Medical,26537.67,0.1868,0.7994,68.03,Good,0,0
43.3,123253.28,Salaried,56,Personal Loan,1240761.36,49,Business Expansion,475505.3,0.5269,0.0,51.24,Good,1,0
39.9,113735.6,Salaried,78,Personal Loan,729563.4,27,Education,379037.75,0.5153,0.0,42.11,Negative,0,0
39.7,132265.22,Business,21,Auto Finance,1614995.32,42,Home Purchase,368543.65,0.5229,0.662,75.15,Average,2,1
27.5,100477.64,Salaried,56,Auto Finance,1570741.52,28,Debt Consolidation,394447.5,0.8855,0.737,47.65,Average,1,1
41.0,247769.92,Salaried,71,Business Loan,2846391.25,64,Business Expansion,851025.26,0.4657,0.0,69.44,Good,3,0
46.3,66702.98,Salaried,54,Auto Finance,1318757.99,24,Debt Consolidation,79653.48,0.9233,0.835,52.99,Good,2,1
21.0,118500.68,Self-Employed,98,Auto Finance,1045338.64,57,Debt Consolidation,707378.86,0.6522,0.664,13.3,Average,2,1
53.5,231458.57,Salaried,37,Home Finance,5713630.73,239,Debt Consolidation,131830.01,0.1507,0.823,74.11,Negative,2,0
22.6,115708.66,Self-Employed,42,Personal Loan,1593821.64,21,Wedding,181523.84,0.7867,0.0,9.86,Negative,0,1
30.2,182611.59,Salaried,50,Personal Loan,1009389.79,18,Wedding,600773.52,0.5812,0.0,54.29,Good,0,0
35.7,255898.29,Salaried,98,Personal Loan,2514861.13,42,Medical,369267.16,0.3542,0.0,69.26,Good,0,0
23.3,156756.64,Self-Employed,13,Auto Finance,1728686.05,82,Other,888617.17,0.6069,0.8821,84.07,Good,4,1
26.5,152727.61,Salaried,50,Personal Loan,1913844.17,15,Home Purchase,521887.6,1.1202,0.0,78.79,Good,2,1
49.0,172573.23,Salaried,75,Business Loan,2360792.39,41,Vehicle Purchase,438341.74,0.5453,0.0,83.26,Good,1,0
23.2,58215.71,Salaried,27,Personal Loan,672267.98,59,Vehicle Purchase,40083.26,0.2531,0.0,12.22,Negative,0,1
33.1,227687.55,Salaried,37,Personal Loan,2671803.51,35,Medical,704334.07,0.5931,0.0,3.74,Negative,2,1
30.3,54739.78,Salaried,14,Auto Finance,1062609.67,29,Education,139860.71,0.8823,0.801,81.6,Average,1,1
26.2,113872.13,Salaried,101,Auto Finance,2258680.69,35,Other,576291.08,0.9885,0.9126,94.5,Average,1,1
41.8,80689.04,Self-Employed,31,Home Finance,1491446.73,191,Education,352539.28,0.4609,0.7312,53.36,Average,1,0
32.0,202915.16,Salaried,31,Personal Loan,2241312.81,57,Vehicle Purchase,723472.23,0.4909,0.0,94.88,Good,1,0
58.6,66979.32,Self-Employed,57,Personal Loan,604247.46,56,Home Purchase,31392.68,0.2002,0.0,55.33,Negative,2,1
50.7,106428.13,Self-Employed,104,Business Loan,2563346.23,70,Home Purchase,205239.2,0.5048,0.0,91.5,Good,0,0
26.5,44644.09,Business,23,Home Finance,887655.57,289,Wedding,53475.08,0.1686,0.9065,25.31,Average,1,1
55.5,167621.75,Salaried,39,Personal Loan,1522182.07,45,Home Purchase,485912.95,0.4434,0.0,75.38,Average,1,0
35.7,141199.07,Salaried,10,Business Loan,1784285.14,54,Debt Consolidation,775088.04,0.6915,0.0,80.77,Good,1,1
21.0,152387.81,Self-Employed,34,Auto Finance,1935874.5,71,Other,842056.35,0.6394,0.8969,77.6,Good,0,0
42.7,74137.47,Salaried,21,Auto Finance,683929.46,49,Wedding,263272.8,0.4842,0.8821,5.88,Negative,1,1
36.6,50926.01,Salaried,23,Personal Loan,679766.39,28,Business Expansion,230236.05,0.8535,0.0,47.09,Good,2,1
51.0,165628.54,Salaried,49,Personal Loan,2351451.79,32,Wedding,117380.21,0.5027,0.0,80.98,Negative,1,1
32.6,124900.92,Salaried,74,Personal Loan,683132.46,22,Vehicle Purchase,551097.76,0.6163,0.0,73.43,Negative,4,1
21.0,86390.07,Self-Employed,85,Personal Loan,436447.82,47,Debt Consolidation,473412.35,0.5642,0.0,27.8,Good,3,1
38.5,90720.27,Salaried,18,Personal Loan,756396.21,33,Vehicle Purchase,218533.14,0.4534,0.0,73.75,Average,1,0
37.9,46898.76,Self-Employed,10,Personal Loan,416281.2,33,Education,132009.21,0.5035,0.0,28.33,Average,0,1
36.3,115094.35,Salaried,67,Home Finance,3787361.67,237,Debt Consolidation,183147.65,0.2715,0.6707,85.49,Good,1,0
32.0,176727.19,Self-Employed,15,Home Finance,5645339.95,182,Medical,859123.26,0.5806,0.7325,87.26,Good,1,1
53.3,490203.65,Salaried,94,Auto Finance,8144685.33,34,Other,1850729.69,0.8033,0.852,36.13,Negative,1,1
37.4,75022.09,Salaried,100,Home Finance,2969517.0,186,Other,405227.99,0.6629,0.8142,61.1,Negative,4,1
31.9,83046.04,Salaried,150,Personal Loan,869475.6,55,Medical,228987.02,0.4201,0.0,65.09,Good,3,0
43.9,82693.71,Salaried,24,Home Finance,2102978.94,166,Medical,191316.45,0.346,0.7738,32.11,Negative,1,1
26.5,167543.61,Salaried,69,Personal Loan,2202651.37,46,Education,458013.94,0.5136,0.0,21.64,Good,1,1
54.7,87181.11,Salaried,31,Personal Loan,1068570.81,18,Other,34821.02,0.7142,0.0,88.42,Good,0,0
46.8,155211.46,Business,9,Home Finance,5311064.62,229,Vehicle Purchase,405306.79,0.367,0.7208,90.8,Negative,0,0
54.5,99649.8,Salaried,69,Personal Loan,1080641.29,34,Business Expansion,542081.57,0.7723,0.0,51.4,Average,1,1
49.3,77133.61,Salaried,23,Personal Loan,406670.28,44,Wedding,315561.12,0.4607,0.0,60.07,Negative,0,0
